M0001|[Promotional Staff]
M1237|discovery regarding the
M1238|Nepentheses to my brother.
M1239|I need a Nepenthes specimen,
M1240|but I don't have the tools to
M1241|make one, my luggage is still
M1242|on transfer. And it's not like
M1243|I've packed enough tools, so...
M1244|To make my specimen tools,
M1245|I need ^3131FF1 Empty Bottle,
M1246|5 Holy Waters, and
M1247|30 Sticky Mucus^000000.
M1248|You know what I'm.
M1249|asking here, don't you?
M1250|Help me, help me, please.
M1251|You call yourself a monster
M1252|scholar, and yet you're afraid
M1253|of practicing your expertise.
M1254|You're nothing but a coward.
M1255|I can take your criticism,
M1256|but I can't hide my true feelings.
M1257|Come on, you're a respected
M1258|monster scholar. You'll find
M1259|that the monsters in this world
M1260|aren't that different from the
M1261|ones in Midgard. Why don't
M1262|you see for yourself?
M1263|- Rumis didn't seem -
M1264|- to be convinced. -
M1265|- He shook his head in refusal. -
M1266|Thank you.
M1267|you've brought the materials.
M1268|While you were collecting the
M1269|materials, I've sent out soldiers
M1270|to catch a few Nepentheses.
M1271|Nepenthes looks extremely
M1272|similar to Mandragora on
M1273|the Midgard Continent.
M1274|Both of them must share the
M1275|same ancestor, but apparently
M1276|Nepenthes has evolved to
M1277|become stronger and more
M1278|aggressive due to this
M1279|barren environment.
M1280|I wonder how the ancestors
M1281|were scattered over
M1282|two different worlds...
M1283|Maybe they went through
M1284|the World Tree Yggdrasil?
M1285|Maybe it came along with
M1286|other creatures such as
M1287|Satan Morocc and traversed
M1288|through time and space.
M1289|The characteristics of this species are...
M1290|Oh, where are my manners?
M1291|I'm sorry if I bored you by
M1292|talking academic nonsense...
M1293|Let's talk about something
M1294|else, shall we?
M1295|Do you think...
M1296|My brother will be happy to
M1297|see this Nepenthes specimen?
M1298|You know, Nepenthes is a
M1299|plant monster, and that's
M1300|my brother's specialty.
M1301|Please deliver this specimen to Terris Block
M1302|He's near the expedition camp.
M1303|No, you won't have to sit through my brother's reaction... If it's bad.
M1304|- You have received a-
M1305|- Nepenthes Specimen -
M1306|- from Rumis Block. -
M1307|I need ^3131FF1 Empty Bottle, 5 Holy Waters, and 30 Sticky Mucus^000000.
M1308|You know what I'm asking here, don't you? Thank you in advance.
M1309|Did you deliver the Nepenthes Specimen to my brother Terris?
M1310|He's at the east of the camp.
M1311|...Welcome back.
M1312|Oh, you don't have to tell me what my brother said,
M1313|because someone from his side already came by. His report really impressed management, huh?
M1314|Yes, that's my brother......
M1315|...Anyways, one of the soldiers that captured Nepentheses for me has given me some interesting information.
M1316|Over the eastern bridge, he found a new type of monster.
M1317|According to his description, the monster is suspected to be a member of the long-haired Cat family. I'd like to see it with my own eyes, but...
M1318|As you know, I'm not yet ready to face any types of monsters in this world...
M1319|Can you escort me while I'm studying that species?
M1320|Please, I'm begging you!
M1321|Wow, thanks!
M1322|Then I'd better pack my stuff right away...
M1323|It won't take long. Can you please go wait for me over the eastern bridge?
M1324|Don't... Don't go too far from the bridge!
M1325|I'll pack my stuff and follow you. Can you please go wait for me over the rightward bridge?
M1326|- Rumis is hurriedly packing his stuff. -
M1327|Apparently, an extremely intelligent creature inhabits Ash Vaccum.
M1328|An explorer went over the rightward bridge to find some wood. In the darkness, something really big rushed at him from far away.
M1329|When he came back to his senses, there was nothing but a tricorn hat left on the ground.
M1330|The tricorn is woven in a way that was never introduced to Midgard, and its materials are also unidentifiable.
M1331|Does it mean another race of human resides here? Would they be fairies or something else?
M1332|What if they've detected us and tried to drive us away... Wah!
M1333|Even thinking of them send chills down on my spine! Can you please go check what kind of races reside at the end of the land over the rightward bridge?
M1334|I want to know if they're friendly or hostile to us.
M1335|Welcome back. Did you find out about them?
M1336|Well, let's see...
M1337|The owner of the tricorn hat
M1338|is a monster called...
M1339|^FF0000Tatacho^000000
M1340|"+.@input$+"...? I don't think that was the name...
M1341|The size of Tatacho is about...
M1342|^3131FF"+.@input$+"^000000, I guess...
M1343|Tatachos are usually sitting on the ground, but they roll around if their body temperature goes down too low because of the cold weather.
M1344|About that tricorn hat, I've concluded, based on my opinion about their appearance and their movement patterns, that it is not active or productive at all:
M1345|They are not intelligent enough to produce a sophisticated hat like that.
M1346|You now sound like me... I guess I've stained you with my academic manner of speech. Oh, I'm not saying it is bad, but...
M1347|Anyways, according to your conclusion, the hat must have been given to them by someone else, or they could have picked it up after another creature dropped it.
M1348|Thank you for such valuable information.
M1349|It's enough to write a report.
M1350|I should make a brief report and then submit it to management. Hopefully, a new monster scholar after me will do a better job in actually studying them.
M1351|There are many cold places in my country, the Schwarzwald Republic, but none are as cold as this place. This weather is freezing my senses, dulling my passion toward my studies.
M1352|I shall go back home faster than anyone else in this camp. I'm tired of this world...
M1353|..."+strcharinfo(0)+", I thank you so much for helping me despite my self-centered behavior.
M1354|I really appreciate it
M1355|I'll repay your favor as soon as I go back home.
M1356|I hope you'll make yourself known in Ash Vacuum with your great accomplishments.
M1357|Can you please go check what kind of races reside at the end of the land over the rightward bridge? I want to know if they're friendly or hostile to us.
M1358|Mr. Rumis! Take a look at this!
M1359|...Oh, hello.
M1360|I'm extremely frustrated. I feel helpless because I wasn't able to go back home last time...
M1361|I've found this horn from a monster in the Splendide Area.
M1362|That monster was very mysterious, and its body was covered with grass.
M1363|Ho... Covered with grass?
M1364|...I know you're excited, but that doesn't sound interesting to me. Sorry.
M1365|Let me take a look at the horn.
M1366|Uhmm...
M1367|Huh...?
M1368|...This is remarkable.
M1369|...This horn looks very similar to that of the Hillsrions that inhabit the Manuk area.
M1370|I wonder if they're related,
M1371|or if this is an evolved Hillsrion.
M1372|Ah, and there's the possibility of mutation caused by the environment.
M1373|...What do you mean?
M1374|Are you saying the monster has been mutated by environmental causes?
M1375|Well, that's possible, isn't it? Haha!
M1376|- You told Rumis what you've heard from Botanist Terris: some plants are already showing signs of mutation. -
M1377|Oh, that's interesting.
M1378|If such a device really exists, it's possible to cause abnormal growth to monsters by injecting them with special energy.
M1379|By the way, who came up with the idea of that device?
M1380|I have no idea. Haha!
M1381|I see...
M1382|Mutants caused by a man-made device... Then there might be more mutated creatures in addition to Tendrillion.
M1383|...Now I'm very curious.
M1384|But... I want to go back home... It's no use studying them if the management will order me to return.
M1385|I guess my brother really likes this place.
M1386|I mean, he's working so hard to figure things out...
M1387|Well, not everyone can live the same life.
M1388|I just hope he'll have a better understanding about me...
M1389|I don't know if people in Midgard will welcome me back.
M1390|Thanks to you, I at least have a few interesting stories to tell them.
M1391|If you're going to stick around here longer, please help my brother with his study.
M1392|I might want to come back later once this area is fully explored and developed...
M1393|- With a shy smile on the face, Rumis Block asked you to shake hands, and then turned around hurriedly. -
M1394|- You really hope that Rumis will be able to go back home. -
M1395|...I submitted the report to the management, but they have not yet ordered me to go back home...
M1396|...*Sigh* I guess nothing's as easy as I'd hoped.
M1397|- Rumis seems anxious and scatterbrained. -
M1398|When can I go back to Midgard...? *Sigh*
M1399|Undiscovered life!
M1400|Everything about this world excites me.
M1401|[Botanist]
M1402|Oh, okay... Ah-hah!
M1403|This is how it goes...
M1404|This new land!
M1405|Your excitement agitates me.
M1406|Err? Ahahahaha!
M1407|Oh, come on! I'm just being happy.
M1408|By the way, is there anything I can help you with?
M1409|I agree. There's so much to see around here!
M1410|Ahahaha!
M1411|Nice to meet you, my friend.
M1412|So, is there anything I can help you with?
M1413|Your brother wanted me to send this to you. Maybe it'll help with your study.
M1414|- You have given the Nepenthes Specimen to the botanist. -
M1415|Oh...? Isn't this?!
M1416|...Well, I've got a ton of samples of this specimen. Sorry.
M1417|- He points at a pile of specimens in the tent. -
M1418|Still, I'm impressed. I always thought my brother could never do anything on his own. But look, he was able to collect a Nepenthes specimen.
M1419|Then again, I had this strong feeling that someone has helped him.
M1420|That someone was probably you, right?~
M1421|Either way, I don't care.
M1422|I'm just happy that he cares about me...
M1423|Why do you think that?
M1424|Can't you just thank him for trying to help you?
M1425|Well, you must forget that he and I are twins.
M1426|We are spiritually connected to each other.
M1427|Usually twins share the same feelings and ideas, I can see what he does or thinks if I try hard.
M1428|Let me see what Rumis is doing right now... Oh, he's picking his nose with his left hand and eating a slice of bread with his right.
M1429|God, how disgusting!
M1430|Hahaha!
M1431|Muhahaha!
M1432|Let me guess, you want to go check Rumis to see if I'm telling the truth. Am I wrong?
M1433|Hahahaha! Sorry, but I lied. I mean, remote vision? Because we're twins?
M1434|God, you're so funny. Hahaha~
M1435|You please me, just like the new creatures blooming on the World Tree.~
M1436|won't you cut me some slack? I was just joking to melt the ice.
M1437|This world is too barren and tough to live without good humor and jokes, you know?
M1438|Anyways, as I said, I've got a lot of Nepenthes specimens.
M1439|But I'll gratefully take this pretentious gift of his.
M1440|This may be an unexpected question, but... Are you interested in meeting dangerous girls playing on a field?
M1441|Yes, femme fatales!
M1442|I've seen girls that are so beautiful.
M1443|They're too dangerous to get close, but that's what make them so irresistibly attractive. Do you understand what I'm saying?
M1444|Have you explored the area over the bridge at the right side of the united expedition camp?
M1445|Then you know the area is so cold that it'll instantly freeze your heart.
M1446|You should go across the leftward bridge, you'll be surprised to see what's ahead of you.
M1447|It's yet to be known how such a thing can happen.
M1448|Well...
M1449|I suppose I don't have the words to really describe such an amazing scene.
M1450|I'll send a message to the garrison for you. Why don't you go see it with your own eyes? You won't be disappointed!
M1451|Of course, I'm offering such an extraordinary service because there's something I want in return. Ahahaha!
M1452|...Truth be told, I'm having some trouble. And I need someone to help me.
M1453|For now, you should go across the leftward bridge. Speak to a guard over there, and then just go ahead.
M1454|A group of beautiful girls will welcome you. I hope you'll enjoy having a conversation with them. Maybe you'll get to understand the mystery of nature.
M1455|Yes, I only need... ^3131FF30^000000 of them.
M1456|Welcome back! How was it?
M1457|It was amazing, wasn't it?
M1458|On the right side of this united expedition camp,
M1459|we have a land surrounded by roaring blizzards.
M1460|And on the other side,
M1461|we have a peaceful green land
M1462|where we can enjoy Mother Nature's warm embrace.
M1463|Two completely different worlds coexist
M1464|within a short distance of each other.
M1465|Where else can you see such amazing contrasts at a glance?
M1466|I'm curious to know all secrets about this world.
M1467|I'm so excited that I can't hide it!
M1468|*Pant Pant*
M1469|Yes, it is...
M1470|Oh, right!
M1471|Actually I'm here to study this strange phenomenon.
M1472|To understand the environmental conditions,
M1473|including temperature and humidity,
M1474|5.....and check the families and growth of plants,
M1475|I've installed several special environmental meters
M1476|in this area.
M1477|Unfortunately, some evil monsters
M1478|keep destroying the precious meters
M1479|with their ^3131FFHeinous Hoops^000000!
M1480|The culprits are called Cornus.
M1481|I'd like to ask you to teach them not to destroy my devices again.
M1482|How'd you like to hunt ^3131FF10 of them^000000 to set an example? Good luck!
M1483|Hopefully the Cornuses have learned their lesson, and won't touch my special environmental meters anymore.
M1484|Oh Karyl, while you were away, I received an interesting report from one of my research machines that remained intact.
M1485|According to the report, The original weather condition of Ash Vacuum is cold and dry, just like the land on the right side.
M1486|That means, somebody has artificially cultivated the leftward land.
M1487|Do you remember seeing strange mushroom shaped buildings everywhere in the fields?
M1488|I suspect it to be an environmental purifier that converts barren land into lush, green fields.
M1489|Let me show you.
M1490|Please take this rotting plant stem,
M1491|I'll meet you at the environmental purifier standing right next to the leftward bridge on the other side.
M1492|Cornuses are breaking my special environmental meters!
M1493|Please show them the power of Midgardians!
M1494|I submitted a report to upper management.
M1495|I haven't received any response, but I'm sure they'll be as excited as I am once they read the report. Woohoo!
M1496|[Camp Guard]
M1497|Stop!
M1498|You're about to enter an area that has not been fully explored.
M1499|Only personnel--researchers and explorers--authorized by United Midgard and the garrison are allowed to enter the danger zone.
M1500|Please be careful out there.
M1501|If you encounter any threats or strange phenomenon, then please don't hesitate to report to us at the garrison.
M1502|No, you can't. Please return to the expedition camp.
M1503|Look.
M1504|You can tell the pileus is creating drops of light which drip to the ground.
M1505|Please try to plant the rotting stem in the ground.
M1506|It's sprouted! That shoot looks healthy!
M1507|See?
M1508|This giant mushroom, otherwise known as an Environmental Purifier, not only brings dying plants back to life, but also stimulates their growth.
M1509|Isn't it amazing?!
M1510|This finding will surely stir up the academic world.
M1511|Now, I should get back to work. I need to write a report based on my study results.
M1512|I can't wait to see how the expedition management will react to my report. Hahaha~
M1513|Oh, right... Rumis!
M1514|Can you please tell him that I've received his Nepenthes specimen safely?
M1515|And don't forget to tell him that I've produced great research results. That'll make him cry like a baby. Hahahaha!
M1516|- Pzzzz -
M1517|- Ssshuhhhh -
M1518|- Something is growing out of the dirt. -
M1519|Knock, knock. Are you here?
M1520|- Something is making loud noise near the top of the tree. -
M1521|...Oh, yes. Yes!
M1522|Monsters were looking at me, so I climbed up this tree without even thinking!
M1523|How can I get down now?
M1524|Oh wait, I can see everything so clearly from here.
M1525|I guess staying here will be much safer and easier for studying monsters.
M1526|...I'm looking at Hillsrion, the creature that people are talking about.
M1527|It's covered with soft fur that reminds me of soft ice flakes floating in the air.
M1528|...Oh, sorry.. I was just talking to myself.
M1529|I'll be watching the Hillsrions from this tree. "+strcharinfo(0)+", can you please go collect ^3131FFHillsrion Horns^000000 for me?
M1530|Their horns might possess a special power. And I want to have them for further research.
M1531|...5 horns will be enough.
M1532|I'd like to study Hillsrion's Horns. Please bring 5 of them for me, okay.
M1533|...*Shiver*...
M1534|Ah! You're back!
M1535|Phew...
M1536|Are you okay? Their fangs look so sharp and shiny...
M1537|Oh right, you're an expert when it comes to this kind of job. Hahaha, I don't have to worry about you anymore.
M1538|Have you brought Hillsrion's Horns?
M1539|Those are the horns in your hands?
M1540|Well, they appear to be ordinary horns with a spiral pattern.
M1541|Monsters with such horns are a dime a dozen in Midgard.
M1542|I, however, still have no idea how Hillsrions use their horns.
M1543|If they have bad vision, they could use the horns as feelers, or... I know you don't want to hear me ramble on with my conjecture. Sorry.
M1544|We can call it a day for today. Thanks to you, I now feel confident enough to at least come to this tree by myself next time.
M1545|Let's go back to the camp. Shall we? I have something to discuss with you.
M1546|You find a little creature flying in the bushes.
M1547|It has tiny wings on the back...
M1548|It's a fairy!
M1549|[Small Fairy]
M1550|RLGHLRXLA TKANTLFDMS
M1551|WJACK TNAHRDNJSDMFH
M1552|WLSGHKWND !!
M1553|The fairy notices you, and looks very surprised.
M1554|It is saying something, but you don't understand.
M1555|You should report this to the united expedition quickly.
M1556|Perhaps the guard captain of the expedition is the right person to report to.
M1557|The surprised fairy is saying something to you, but you cannot understand fairy language.
M1558|Who are you?! Are you looking for the Sapha!?
M1559|You have found something moving between dry branches.
M1560|It appears to be a tree at first glance, but it turns out to be a giant that is half tree and half man.
M1561|[Tree Giant]
M1562|TJDTMFJDNS CJFDI
M1563|TKADLFDMF QKATOS
M1564|EKDTLSDML DLFMADMS..
M1565|The giant notices you, and looks very surprised.
M1566|The surprised giant is saying something to you, but you cannot understand.
M1567|Where are the Laphine reinforcements? I might have a problem.
M1568|[Captain]
M1569|Good day. I'm here to protect the
M1570|peace and safety of explorers
M1571|working for United Midgard.
M1572|How may I help you?
M1573|Oh, nothing.
M1574|Sorry to bother you.
M1575|- You report your encounter with a small fairy in the Splandid area to the guard captain. -
M1576|That sounds very important.
M1577|It's too early to say this, but we might have to dispatch an investigation group to the area.
M1578|I'll discuss this more with the expedition management.
M1579|Thank you for your valuable information.
M1580|- You report your encounter with a tree giant in the Manuk area to the guard captain. -
M1581|[United Research Official]
M1582|How come you've got so much to carry?
M1583|Are you perhaps on training or something?
M1584|Hmmmm...mmm...
M1585|Oh! Hello there!
M1586|You must be the adventurer from Midgard.
M1587|We've come all the way here to keep track of Satan Morocc, but... Now it seems that's not our priority anymore... Tsk,tsk...
M1588|Well, since our research group has been gathered in such haste, many of our members collide too often.
M1589|I think it's just the process of trial and error, but this really slows things down.
M1590|Alas, the head office keeps pushing me to submit a report... As if I could perform miracles!
M1591|I can't go around and meet those people myself, mediate among troubled people... This is impossible!! Unless...Unless someone helps me with that ! I need... someone...
M1592|- He stared at you -
M1593|- with sparkling -
M1594|- eyes as if he were -
M1595|- demanding for help! -
M1596|Eh?! Oh, my... You really shouldn't. You must be extremely busy tracking down Satan Morocc!
M1597|But... if you say so, could I really use your help? Hahaha.
M1598|Those researchers complain a lot these days. They're terribly stressed out and I think somebody should really listen to their problems.
M1599|Especially those dealing with document files that argue with each other so many times! You might wanna start by talking to them.
M1600|Sounds good, huh? Please, you should go now.
M1601|And, don't worry! I'm even willing to share my snacks with you if things go well. I'm not asking this for free, you got that~?
M1602|Aha!
M1603|Isn't that an invitation to the meeting?
M1604|And...and I really get to sign this thing and approve it...? Hahaha!
M1605|This, this means I need to get prepared for the meeting! Finally!
M1606|Hahahaha!
M1607|Oh, by the way, did you get a rough idea of the atmosphere of this expedition?
M1608|Normally, researchers just take their own instruments and find their own tracks of Satan Morocc.
M1609|They don't really need to cooperate with other members.
M1610|Howerver, things get different when it comes to document files.
M1611|Those researchers in charge of document files must contact eachother for information, and this just makes for endless work.
M1612|People can't always be perfect, so they stress out and get to arguing...
M1613|So... Could you do me a favor?
M1614|As you've heard, about the 3 researchers, they don't agree with eachother too often. It's just too obvious that their meeting will turn out a disaster, and the whole research group could break down!
M1615|Oh, just thinking about it scares the crap out of me.
M1616|What I'm asking is that you participate in the meeting with them and help them negotiate.
M1617|So, first! Can you go meet those 3 researchers and check on them to prepare for the meeting?
M1618|How did it go?
M1619|Did you talk to those researchers in charge of document files?
M1620|Please, you should participate in the meeting and mediate them if anything goes wrong!
M1621|First, you should go meet those 3 researchers and check on them to prepare for the meeting. Hope they're not preparing any weapons though...
M1622|Ohhh, you came! How generous of you!
M1623|The meeting's about to begin.
M1624|Whew... I think I'm too tense... My chest hurts... Aaaah.
M1625|- Somebody's knocking -
M1626|- on the door... -
M1627|Finally, the meeting's starting.
M1628|You should come in.
M1629|So, everyone's here.
M1630|Let us begin our meeting.
M1631|First, I need to hear the report on the process of tracking Satan Morocc.
M1632|[Ryosen]
M1633|Alright. I'm Ryosen from Rune-Midgarts. We're certain that Satan Morocc came to this place through the crack of dimension, however, we failed to find any traces within the area we inspected.
M1634|The Tripartite Union is doing whatever it takes to track down Satan Morocc's whereabouts, but the research in Ash-Vacuum is very limited.
M1635|Supplies, reinforcements as wel as demanded goods are all insufficient, so we can't really go on.
M1636|I've heard the assassins took action in order to find the traces of Satan Morocc, but nothing's been reported so far.
M1637|[Hue]
M1638|I'm Hue from the Schwarzwald Republic.
M1639|We're still researching on the crack of dimension that Satan Morocc has come through, and the false data research on the noise created when moving through the crack is currently being corrected.
M1640|The real cause of this problem has yet to be found, which makes it hard for us to provide any reinforcements or other supplies.
M1641|Ok. I see. How's it going with the research on Ash-Vacuum?
M1642|[Hansenne]
M1643|Hi, I'm Hansenne from Arunafeltz. We have conclused that his world of Ash-Vacuum is nothing related to the continent of Midgard, as it is placed in a totally indipendent world dimension.
M1644|The environment of the fields on the East and West where we can work on the research has nothing in common with the environment within the boundrary of the Tripartite Union's army post.
M1645|I also have been reported that the ecosystem in the researched are is different.
M1646|We could not go further with the research on the ecosystem due to some violent living creatures which have never been found on the Midgard continent.
M1647|So... All in all, nothing has been clearly found. Any problems among the members of the United Research Group?
M1648|- The room is in awkward silence for a short while... -
M1649|Ha..... Hahahaha...
M1650|... Then, anything you need to request, or suggest, perhaps? Anything you want to complain about?
M1651|- Ryosen, who was fidgeting with -
M1652|- his files, suddenly stops and -
M1653|- studies the others. Then, he takes -
M1654|- out something from the bottom of -
M1655|- the chair and puts it on the table. -
M1656|I'm.... I... The document file...
M1657|Aaaaaahahhhhhhhhhhcckk!!!!!
M1658|- Hue, shocked by the sudden
M1659|scream, stands up frantically and
M1660|accidentally hits and drops the
M1661|object which Ryosen had taken out. -
M1662|Kkkkhaaaaaaahhhhhhhh!!!
M1663|It's the Thief Bug!!!
M1664|- As the Official screamed, all the
M1665|researchers of the union started to
M1666|scream as well, and rushed out of
M1667|the room. -
M1668|Hhmm, hmmmm...
M1669|I really don't know what to say.
M1670|I mean... I'm totally OK with other monsters, mutants or whatever, but that black evil thing... Oh, I can't stand that one...
M1671|- Knock, knock-
M1672|- The researchers come back into the room. -
M1673|Uh-hmm! Sorry about the mess.
M1674|I... Something urgent came up...
M1675|............Aaaaaaaaahhhhhhhhh!
M1676|Whhhhhhaaattt!!!! What is it!!?
M1677|The Thief Bug, Again!!!???
M1678|- Except for Ryosen, the rest spring out of their seats and run hurriedly for the door. -
M1679|My... my strawberry cake!!!
M1680|- Ryosen picks up his strawberry cake, all squashed with some fingerprints. -
M1681|Stop! Freeze, everyone!
M1682|Move one more time and you'll be considered guilty!!
M1683|This cake was just fine before that evil thing appeared, and there were only 4 of us here!
M1684|One of you must be guilty of ruining my Rune-Midgarts' Strawberry Cake!!!
M1685|I can't help checking your hands! This must be a fingerprint! It's loud and clear!! Hmm, I bet this is the mark of an index finger!
M1686|Wait a minute! Wait! Stop treating us like criminals! What is wrong with you, it's only a cake!? Don't you think you're going a little too far?
M1687|Whatttttt!? Only a cake????
M1688|Aha, yeah, I just remembered. You people from Schwarzwald don't ever appreciate food at all, right?
M1689|Especially when the food is NOT yours, huh? That's why you people sneak a taste of other people's food like my strawberry cake!!!
M1690|Hmm, are you talking about Dusty?
M1691|He was expelled right after the incident and his job was taken away! I told you several times already!
M1692|Ugh... You guys, I think you should calm down... This is ridiculous.
M1693|Ughhhhh! It was I who did that!!!
M1694|Sorry, I was just too shocked by that thief bug and accidentally touched your cake with my finger!
M1695|...Huh? No. Wait...
M1696|You again?!
M1697|I can't belive how careless you are all the time, like with the requested data and all!!
M1698|Ah, I forgot to say thank you.
M1699|Hue, thank you so much for restoring my documents!!!
M1700|Thanks!!!
M1701|Ahahahahaha. Hahahahaha.
M1702|No, I...
M1703|Hey, stay on topic!!
M1704|You are...
M1705|Ahhhhhh! I guess we should call it a day now! Thanks for comingm all of you. Ok, let's go. Dismissed!
M1706|Come on!!!
M1707|-The three researchers say nothing. They just stare at each other, standing still... Then they finally leave the room. -
M1708|Ugh, I've got nothing to say.
M1709|All I wanted was to let those people be closter to each other, become more friendly. But, problems come up every single time.
M1710|Can you think of any idea how to get those people to get along??
M1711|... Actually... Hansenne is not the one who ruined that cake.
M1712|Eh? What did you say?
M1713|But... I don't understand why Hansenne would take the blame...
M1714|... Well, I should go now.
M1715|What? Ah, adventurer?!
M1716|How are they?
M1717|- You tell the Official about the conversation that the 3 researchers had, in detail. -
M1718|Whew, I see.
M1719|Maybe I've been a little too worried.
M1720|How often they collide, it must be a natural thing for people from different countries with different personalities and customs.
M1721|Thank you for helping me.
M1722|Here, I'll offer you a cup of tea.
M1723|This is a really special drink I preserved. Please, drink it while it's nice and hot.
M1724|- You feel so refreshed and light, as you drink the tea that the Official offered. -
M1725|Now, I should get to work on the report I need to submit to the head office. Ah, and this is nothing big, but still... This might come in handy when you travel.
M1726|Please, stop by and say hellp to us from time to time.
M1727|Thank you for everything.
M1728|Oh, I'm not asking you to keep your eye on those 3 researchers. Don't get me wrong, hahaha.~
M1729|...Mmmm? What brings you here?
M1730|I wouldn't be roaming around this place like that, if I were you.
M1731|It's very dangerous here, and people dwelling is this place are not that nice.
M1732|Hmm? What did you just say?
M1733|I can't really hear you. Could you speak louder?
M1734|Please, keep your hands off my stuff!
M1735|Ugh! My, my... What am I gonna do with this!? Files, files, files!!!
M1736|Ahhhhhkk!
M1737|What time is it now? Ugh... This is such a mess!!
M1738|What are they thinking!!? I don't get it. How come I have to work, while those guys from other countries are just praying for a breakthrough, every single day!
M1739|This is so unfair!! My stress is growing geometrically every hour!
M1740|What a waste of time! Why do they have to pray! Why?! Why?! Why don't they work instead of pray!!
M1741|Ugh...!
M1742|Nothing's appreciated! Nothing!
M1743|They're just so useless!
M1744|- He took a deep breath -
M1745|- trying to calm down. -
M1746|Anyway, who are you? This place is restricted.
M1747|Ah! You must be the one who came to help us track down that Satan Morocc, the bastard who made the giant hole and then was gone like the wind.
M1748|Ugh. I should watch my mouth.
M1749|Sorry. You're on our side. I should just be polite, but it's just... I'm so stressed out.
M1750|How about having some tea here?
M1751|It's Rafflesia tea from Schwarzwald. Don't even expect taste, it's awful... But what can I do? It's the only thing I've got...
M1752|You must have heard about this, but this is the place where Satan Morocc landed through the crack of dimension.
M1753|As you see, this seems like a totally different world. It's nothing like the continent of Midgard, though we haven't found any concrete evidence. We decided to call this place Ash-Vacuum.
M1754|We're doing everything we can, to track down Satan Morocc, but all those researchers from different countries couldn't help but wonder what this place really is.
M1755|Well, so we're all interested in one thing. However, the real problem lies on our structure of the group.
M1756|Three different countries united to take down the comon enemy, Satan Morocc, byt they eventually started to gather and keep the information to themselves.
M1757|So... frankly speaking...
M1758|Tracking Satan Morocc is not or major concern anymore. Our expedition was formed in such hase that so may things can cause problems in this group.
M1759|People don't believe other members of the group except for the ones from their own countries. They're all so sensitive that every little thing hits a nerve.
M1760|But what can we do? After all, we were gathered to achieve the same goal, and we researchers don't want to cause any trouble among countries. It's really hard for us to live with our complaints.
M1761|I mean... the situation here is... just like the taste of this tea.
M1762|Just awful!
M1763|Oh, I spent too much time talking.
M1764|I should be working now!
M1765|Look at this pile of document files... We're supposed to share all the information within these documents...
M1766|Oh, well... Maybe the same thing's happening at other offices. People from other countries might have hidden some important information behind my back.
M1767|Whatever... Could you deliver this document to the Schwarzwald and Arunafeltz researchers?
M1768|... Eh? Didn't you come to help us?
M1769|Whew~ Very good.
M1770|No one in our research group wants to visit the offices of the other countries!
M1771|Ok, now, please deliver the file to Hue and Hansenne. Hue's in charge of Schwarzwald's documents and Hansenne's in chare of Arunafeltz's.
M1772|The file contains the brief introduction and the schedule of the meesting.
M1773|For your information, you should go see Hue at the Schwarzwald's office first. Otherwise, he'll be whining about it.
M1774|You must check if they read and understand correctly after delivering it. Don't forget to get them to sign at the bottom of the page, just in case.
M1775|Go on now.
M1776|Just so you know, today's Desert Day. Midgard is sending some desserts through the crack of dimension, regularly.
M1777|Midgard's desserts are definitely the world's best.
M1778|The only thing we enjoy here is that dessert we receive, once a week.
M1779|Schwarzwald's Pineapple Jubilee is just awful. It tastes something like rusty steel.
M1780|Arunafeltz's Desert Sandwich is nothing better than that. I think that sandwich's made of some old meat, otherwise, we wouldn't have been food poisoned so often!
M1781|But, Rune-Midgarts' Strawberry Cake! It's the best.
M1782|Nice and soft spongecake covered with sweet-tasting whipped cream, lots of fresh strawberries on top!
M1783|Rune-Midgarts' top chef, Charles Orleans makes it himself!!!
M1784|Hurry, you must hurry up, or you won't be able to taste this wonderful cake!
M1785|- You got the Meeting -
M1786|- Invitation from Ryosen, -
M1787|- which briefly explains -
M1788|- the agenda and schedule -
M1789|- of the whole meeting! -
M1790|Hurry up and deliver the document to Hue and Hansenne!
M1791|Don't forget! Schwarzwald's Hue must get it first, otherwise, he'll nag us like crazy.
M1792|And you must get the document signed at the bottom before you bring it back.
M1793|Hurry, you must hurry up or you won't be able to taste this wonderfull cake!
M1794|Ah, welcome back!
M1795|Must've been hard to get them all signed. Well done!
M1796|Hue's so egotistic and stubborn. He thinks he's some kind of royale... and Hansenne... Whew~nobody ever gets what he's just talking about.
M1797|He's just ridiculous.
M1798|Thank you for dealing with those guys. I've got to go through the file now. Please give me the Invitation.
M1799|Please get Hue and Hansenne to sign the Inviation, then come back.
M1800|Huhuhuhu, what a sight...!
M1801|This autograph here looks like Hue's. See, the letters are all so strongly pressed down with his anger. This one here should be Hansenne's, scrawled without thinking.
M1802|How was it? Did you have a chance t find out what the problem is among us researchers?
M1803|This isn't all because of the different personalities. Lots of other members have similar problems. Howerver, the problem among us three: Hue, Hansenne and I... is just more visible than others.
M1804|So, here we are. We are finally ordered to have a meeting and supposed to find the way to solve our problem.
M1805|But, do you know what really would be the best solution for us? It's to avoid meeting face to face.
M1806|It wasn't our will to have this meeting, and I never imagined they'd sign this thing... Well, I just feel like I've been punched in the head or something.
M1807|Well, it's already spilled milk. I need to go to that meeting whether I like it or not. Could you please send this to the Official of the United Research?
